seed,min_h,min_h_slot,final_h,liquidations,force_closes,users_liquidated,users_with_positions,insurance_end,c_tot_end,pnl_pos_tot_end,h_zero_slots,h_zero_first_slot,h_below_50_slots,h_below_10_slots,min_true_h,min_residual,withdraw_attempts,withdraw_successes,close_attempts,close_successes
1,0.257769,480,0.259045,1809,14,1675,2001,250520876117,83043981307024,243892930359185,0,never,440,0,0.257769,4162912406170,10,7,5,3
2,0.261933,480,0.280511,1748,19,1597,2001,234960002936,70506637342481,218155510176130,0,never,440,0,0.261933,3975998158531,9,8,6,6
3,0.261155,480,0.261782,1797,13,1639,2001,267053071022,72068085224014,257357156439747,0,never,440,0,0.261155,4267706386687,9,6,6,5
4,0.249243,480,0.250044,1779,14,1621,2001,216978016448,68638685430654,217144203460174,0,never,440,0,0.249243,4007946581830,8,7,7,5
5,0.259271,480,0.259556,1778,21,1652,2001,224532111945,70544285178627,239290773860963,0,never,440,0,0.259271,4086759494791,7,6,8,8
6,0.265933,480,0.266397,1751,10,1619,2001,218552021524,69510203092972,201525044178828,0,never,440,0,0.265933,3928138867979,10,8,5,5
7,0.256264,480,0.255825,1754,12,1623,2001,226429117635,74036937115570,223722650082443,0,never,440,0,0.256264,4040505438314,8,6,7,7
8,0.238371,580,0.238433,1780,12,1634,2001,235811161829,68455567009160,214195420023175,0,never,440,0,0.238371,3986627999213,11,8,4,3
9,0.269179,560,0.269590,1838,16,1683,2001,243294407223,71633194297534,246741774462298,0,never,440,0,0.269179,4137019527237,8,7,7,7
10,0.272757,480,0.275579,1751,16,1601,2001,256973561543,81184589042771,230175072182789,0,never,440,0,0.272757,4071774238744,9,7,6,5
11,0.276569,480,0.277928,1834,17,1684,2001,288127082325,73944062679892,253733810850624,0,never,440,0,0.276569,4170344793248,10,6,5,5
12,0.265759,480,0.266611,1790,13,1642,2001,230319041065,72054714644960,226406323912639,0,never,440,0,0.265759,4043783534015,6,5,9,8
13,0.258267,480,0.258571,1786,12,1656,2001,243741739540,68041843224957,240807630173568,0,never,440,0,0.258267,4158971750275,11,9,4,3
14,0.251162,580,0.250906,1759,19,1624,2001,254835209607,73340659155219,236699604631088,0,never,440,0,0.251162,4036245625109,10,8,5,5
15,0.252008,480,0.252508,1792,12,1644,2001,221354781831,69536193475816,230518426071700,0,never,440,0,0.252008,4041651365688,10,6,5,4
16,0.273561,480,0.273618,1795,18,1659,2001,229803657924,71369020202626,220254678557065,0,never,440,0,0.273561,3967939126749,12,9,3,3
17,0.240905,480,0.241728,1803,15,1662,2001,239393314738,68327693228876,223147918079027,0,never,440,0,0.240905,4089635162315,10,8,5,5
18,0.250397,480,0.252766,1770,16,1628,2001,206315675873,70417618159975,212479437434137,0,never,440,0,0.250397,3972621816904,9,6,6,5
19,0.262734,480,0.263154,1779,9,1634,2001,239949605987,70547198845351,232029753561185,0,never,440,0,0.262734,3995760925267,8,8,7,7
20,0.269095,480,0.268987,1758,16,1613,2001,278021541250,76218977184955,253111718942623,0,never,440,0,0.269095,4145295313545,8,6,7,6
21,0.244578,480,0.245534,1766,13,1615,2001,210925972652,69110466483930,204584937124083,0,never,440,0,0.244578,3918481126072,9,9,6,6
22,0.247901,480,0.247000,1750,15,1615,2001,249958052505,78039334968488,241059910469614,0,never,440,0,0.247901,4161290112581,9,8,6,6
23,0.265536,580,0.265057,1789,12,1651,2001,226306711450,73325633307734,228578830886969,0,never,440,0,0.265536,4139463394511,9,6,6,6
24,0.249138,500,0.249923,1783,17,1628,2001,242143311658,74322524215122,222536427391071,0,never,440,0,0.249138,4103263082392,10,7,5,4
25,0.270143,480,0.271385,1775,22,1630,2001,244597920503,72111360355665,233717747514396,0,never,440,0,0.270143,4071312579177,9,9,6,5
26,0.258749,480,0.259421,1772,12,1644,2001,228047682690,72720774719736,229461230203929,0,never,440,0,0.258749,4074186907401,8,6,7,7
27,0.246540,480,0.247989,1776,10,1628,2001,202292161613,67502736948492,214056573536364,0,never,440,0,0.246540,3974971170176,8,8,7,7
28,0.263223,480,0.264496,1797,17,1653,2001,301849714230,75638052139152,275124005490852,0,never,440,0,0.263223,4249424667954,7,5,8,6
29,0.243000,580,0.242753,1783,14,1635,2001,221831467179,69678001592141,210726140346956,0,never,440,0,0.243000,3980863233403,8,6,6,6
30,0.234948,500,0.235021,1801,13,1656,2001,222214306889,69115744648031,233634445037977,0,never,440,0,0.234948,4061358926930,9,7,5,5
31,0.246073,480,0.247669,1808,14,1647,2001,229711093101,71942710009580,231131700474172,0,never,440,0,0.246073,4114305667417,8,7,7,7
32,0.254375,480,0.255388,1795,15,1654,2001,207491991101,67623433299709,214843371592737,0,never,440,0,0.254375,3971990979201,8,7,7,6
33,0.246056,480,0.247331,1797,16,1661,2001,233225081743,71515835224263,222202204246782,0,never,440,0,0.246056,4006763094960,7,6,8,8
34,0.250191,480,0.251517,1797,12,1650,2001,229247997538,69944762305981,224615615954261,0,never,440,0,0.250191,4055609815262,8,6,7,7
35,0.259285,480,0.261148,1773,18,1621,2001,217867579867,70311660863429,222924744668527,0,never,440,0,0.259285,3963135121819,6,5,9,8
36,0.256107,480,0.258170,1783,12,1644,2001,223771941528,69170971525927,228270913589946,0,never,440,0,0.256107,4046554117228,9,7,6,5
37,0.250647,520,0.250779,1770,16,1641,2001,231679944078,73735758361781,228083306024507,0,never,440,0,0.250647,3994719191535,8,7,7,6
38,0.268587,480,0.270524,1783,11,1630,2001,252556470614,75457365748211,234747766167387,0,never,440,0,0.268587,4099461729550,9,6,6,6
39,0.263151,480,0.264299,1801,12,1638,2001,219673605661,71606896207594,226841565746753,0,never,440,0,0.263151,4028588914726,12,9,3,3
40,0.249472,500,0.249968,1807,18,1649,2001,282068408664,70099236452585,240165087263892,0,never,440,0,0.249472,4064569552786,9,9,6,4
41,0.238481,480,0.238675,1767,20,1629,2001,216801998394,68995735876766,225201457483563,0,never,440,0,0.238481,4061057252774,10,7,5,5
42,0.254273,480,0.255499,1796,16,1624,2001,254335652739,70736513544557,256441206080859,0,never,440,0,0.254273,4229366703235,11,9,4,4
43,0.255273,480,0.254285,1781,18,1638,2001,260522210191,76337487398806,225677736913353,0,never,440,0,0.255273,4134150460504,6,6,8,8
44,0.249977,500,0.250984,1770,11,1620,2001,255163240316,71673801616962,230934375571339,0,never,440,0,0.249977,4014886714390,9,8,6,5
45,0.252271,580,0.252049,1778,18,1631,2001,236537555549,73667073407042,217153308279767,0,never,440,0,0.252271,4088313527856,8,7,6,6
46,0.247493,480,0.248564,1774,18,1644,2001,255423414227,69789083800640,252779617674245,0,never,440,0,0.247493,4234868456913,10,7,5,4
47,0.252938,580,0.252913,1822,19,1655,2001,282526508505,75111980122681,240590661014751,0,never,440,0,0.252938,4170807615133,9,5,6,5
48,0.260728,500,0.261955,1730,15,1598,2001,219900863124,76315488945883,219191830874466,0,never,440,0,0.260728,4049751419710,10,7,5,4
49,0.238702,480,0.238903,1772,17,1634,2001,229245750665,69572604460988,222968717366560,0,never,440,0,0.238702,4025903527757,8,7,7,6
50,0.264874,580,0.264922,1777,10,1632,2001,259388825293,73833269071514,260580220946654,0,never,440,0,0.264874,4158957924735,8,7,6,4
51,0.259966,580,0.260008,1750,15,1613,2001,252982743848,72185902700767,247412333954348,0,never,440,0,0.259966,4122369610768,9,8,6,5
52,0.269812,480,0.271029,1820,16,1661,2001,263369331000,79194206591562,251744682726135,0,never,440,0,0.269812,4125526529179,8,5,7,7
53,0.282393,480,0.282866,1745,22,1609,2001,240331152669,74355208158008,252699194375538,0,never,440,0,0.282393,4136529701566,6,5,9,9
54,0.264435,480,0.264974,1794,9,1653,2001,252899592370,71320129654747,252007894087538,0,never,440,0,0.264435,4083749134277,7,7,8,7
55,0.251767,480,0.252277,1758,19,1637,2001,214719994512,67064006626841,223396630656419,0,never,440,0,0.251767,4033058657280,6,5,9,8
56,0.241466,480,0.241728,1769,16,1636,2001,206679403085,68655455253967,215165617294232,0,never,440,0,0.241466,4021724156305,8,7,7,7
57,0.267693,160,0.282286,1789,11,1634,2001,232836936765,74866378641029,237995282444628,0,never,440,0,0.267693,4087906649079,10,6,5,3
58,0.247533,580,0.247456,1773,10,1630,2001,221218945994,72025445648511,211738892781560,0,never,440,0,0.247533,3965049652217,8,7,6,6
59,0.269808,160,0.275598,1850,22,1676,2001,251154275610,70333764931268,236743275447321,0,never,440,0,0.269808,4072693240843,12,9,3,3
60,0.246250,480,0.248003,1782,15,1642,2001,230930159956,73650108842085,236297909678403,0,never,440,0,0.246250,4152864758714,8,7,7,6
61,0.261326,480,0.262207,1763,14,1612,2001,252725587722,70883446772079,227910829540786,0,never,440,0,0.261326,4040408502838,10,8,5,4
62,0.265823,480,0.266325,1781,15,1640,2001,278230127715,73225133723446,259468345011788,0,never,440,0,0.265823,4106365272750,8,8,6,5
63,0.259324,540,0.259553,1786,15,1629,2001,240589575836,76415715386498,232603464671415,0,never,440,0,0.259324,4134153682410,11,8,4,4
64,0.240863,480,0.241076,1789,23,1659,2001,213924668324,68190412667328,225462346733846,0,never,440,0,0.240863,4014055816310,10,8,5,3
65,0.246687,480,0.247390,1759,16,1626,2001,247019024541,69838140500413,230242281981372,0,never,440,0,0.246687,4065857278890,7,5,8,7
66,0.254934,560,0.255266,1769,11,1624,2001,230404026628,70192374323904,227728279459139,0,never,440,0,0.254934,4065845595491,7,6,8,7
67,0.261074,480,0.263497,1772,15,1635,2001,228709752671,70743560610562,224699209481971,0,never,440,0,0.261074,4018032194459,11,9,4,4
68,0.276811,480,0.279014,1750,12,1602,2001,267888355470,76841981734949,257120215534151,0,never,440,0,0.276811,4127072011896,8,7,7,7
69,0.259585,160,0.268588,1786,10,1642,2001,231387995733,72207236010653,238612951657593,0,never,440,0,0.259585,4024441547238,9,6,6,6
70,0.246846,480,0.247063,1783,17,1644,2001,204142354637,68956141178520,210649461976110,0,never,440,0,0.246846,4012549815631,8,7,7,6
71,0.267252,580,0.267126,1761,17,1632,2001,239644619547,75179605697412,241860323511550,0,never,440,0,0.267252,4140269177071,10,8,5,4
72,0.260247,480,0.261651,1799,21,1640,2001,277600828713,75092049342908,276290751495061,0,never,440,0,0.260247,4308107560849,11,7,4,4
73,0.238885,480,0.238505,1761,18,1627,2001,225423030833,69753046926985,235073190037959,0,never,440,0,0.238885,4163156639539,7,5,8,7
74,0.273981,480,0.277010,1817,17,1652,2001,251149918573,79863847279622,248400926352815,0,never,440,0,0.273981,4154897462369,11,6,4,4
75,0.265672,480,0.266730,1788,18,1634,2001,217973255622,70350983543777,220657992379380,0,never,440,0,0.265672,4032482145263,10,8,5,4
76,0.255917,500,0.256375,1791,22,1635,2001,223195132545,69702782214908,226152739345287,0,never,440,0,0.255917,4040987468705,12,8,3,3
77,0.263246,560,0.263366,1785,22,1644,2001,221448042966,71997156345676,225847937374939,0,never,440,0,0.263246,3979513301561,9,7,6,6
78,0.263704,480,0.265763,1773,12,1641,2001,215825815201,70395590685738,211488241954573,0,never,440,0,0.263704,3957146506633,8,5,7,5
79,0.248756,540,0.248694,1786,12,1640,2001,241244374670,72658624998782,227735026670694,0,never,440,0,0.248756,4067722677653,6,5,9,6
80,0.246503,520,0.246850,1740,10,1593,2001,220356805948,69505483109182,212387398744120,0,never,440,0,0.246503,3968284220427,8,6,7,6
81,0.258088,480,0.261114,1771,20,1629,2001,223863985953,70037041437819,224349316695397,0,never,440,0,0.258088,4006594633405,10,8,5,5
82,0.253297,480,0.254056,1801,13,1636,2001,213810916106,67971918520417,211734129025143,0,never,440,0,0.253297,3966450118105,8,8,7,5
83,0.234772,560,0.234784,1771,16,1631,2001,216776334190,69238342225995,220489305909688,0,never,440,0,0.234772,3987436638579,8,6,6,5
84,0.244881,480,0.247609,1780,15,1628,2001,210208162761,69882685718885,215786192501781,0,never,440,0,0.244881,3972416665286,10,8,5,5
85,0.239807,580,0.239941,1772,13,1637,2001,242926704368,72347684577844,224288689763113,0,never,440,0,0.239807,4069407788877,9,9,6,6
86,0.254925,480,0.256351,1787,9,1636,2001,233116295705,70131329680052,226686192543131,0,never,440,0,0.254925,4039123833293,11,8,4,4
87,0.264985,480,0.267768,1796,17,1667,2001,298727985371,73651240235238,295443731700485,0,never,440,0,0.264985,4343705613800,12,10,3,2
88,0.244027,480,0.245547,1787,14,1641,2001,219821632307,68014828366467,213603773152018,0,never,440,0,0.244027,3971990125556,9,5,6,6
89,0.256259,480,0.258776,1805,12,1658,2001,217635150904,70430127676855,214063552815135,0,never,440,0,0.256259,3956336859256,7,5,8,5
90,0.234173,480,0.234955,1793,21,1665,2001,206245900745,66146020375161,213999013985472,0,never,440,0,0.234173,3937443658953,8,5,7,5
91,0.253180,480,0.253913,1792,19,1644,2001,213682969473,67473102090937,212372211186524,0,never,440,0,0.253180,3994186513754,7,6,8,7
92,0.254320,580,0.254419,1747,15,1603,2001,227788308100,73870262302902,218257973136551,0,never,440,0,0.254320,4010395152634,7,6,8,8
93,0.255364,480,0.255886,1786,15,1635,2001,245441158510,70385320559349,246816357680762,0,never,440,0,0.255364,4074272110961,6,5,9,9
94,0.254203,480,0.254866,1798,18,1655,2001,230438123250,72129161334703,222051741264316,0,never,440,0,0.254203,4007604582276,7,5,8,8
95,0.268321,160,0.279336,1783,18,1635,2001,251595049652,72881092538691,250837631526897,0,never,440,0,0.268321,4225528612347,7,5,8,8
96,0.243753,480,0.245687,1765,19,1625,2001,223665490917,67672840369747,223834368514457,0,never,440,0,0.243753,3959400404776,9,7,6,5
97,0.263443,480,0.264650,1796,16,1646,2001,238855674169,75407314577026,241410667122433,0,never,440,0,0.263443,4120274318290,8,7,7,7
98,0.256601,480,0.257254,1793,21,1651,2001,220050533555,70377820614417,221449900214735,0,never,440,0,0.256601,3989057863253,7,5,8,7
99,0.248285,480,0.249429,1763,12,1625,2001,213959083651,67991778102405,225709397643530,0,never,440,0,0.248285,3977073244468,8,6,7,7
100,0.254424,480,0.255255,1765,17,1612,2001,267010318419,74862215894877,252903981100300,0,never,440,0,0.254424,4230151429476,8,6,7,6
101,0.270785,160,0.287924,1797,16,1653,2001,220823957287,72482738982361,236538056397968,0,never,440,0,0.270785,4057367918310,7,6,8,5
102,0.253308,480,0.256445,1798,16,1644,2001,233842460792,74463370472000,229732259891373,0,never,440,0,0.253308,4030254170313,8,7,7,7
103,0.256230,580,0.256118,1798,10,1633,2001,260319127622,73558868318169,250069962242985,0,never,440,0,0.256230,4145533277680,8,8,7,6
104,0.275738,480,0.283266,1817,20,1657,2001,282609686351,76089726678366,258217564518500,0,never,440,0,0.275738,4165635658215,9,7,6,6
105,0.269264,480,0.270542,1750,13,1605,2001,252199051495,75933638527121,251406416168924,0,never,440,0,0.269264,4176955554881,10,7,5,4
106,0.247133,480,0.248087,1773,12,1636,2001,241965919785,72681466278715,236594596775594,0,never,440,0,0.247133,4015997443617,7,7,8,7
107,0.259028,480,0.260082,1787,21,1633,2001,272045335127,71392239867147,247546178692303,0,never,440,0,0.259028,4099382584301,10,8,5,4
108,0.263636,160,0.267298,1810,13,1669,2001,212350403686,68708051833799,214041552203259,0,never,440,0,0.263636,3942442756050,8,6,7,6
109,0.263650,480,0.263936,1775,17,1629,2001,237873400418,69862416687279,231286983059998,0,never,440,0,0.263650,4098292788676,9,6,6,6
110,0.256681,480,0.257242,1768,13,1632,2001,241830013846,73359888651464,236224018002276,0,never,440,0,0.256681,4051488950207,9,7,6,6
111,0.258906,480,0.260290,1774,9,1634,2001,244757315519,67588134241864,223069343938363,0,never,440,0,0.258906,4005666162722,7,5,8,8
